"original_catalog","alternative_catalog","compatibility_note"
"HS4323K","05-408-129","Same 1.5 mL capacity across Sigma-Aldrich and Fisher Scientific; diameter 13.4 vs 10.8 mm (difference 2.6 mm); height data incomplete; verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"HS4323K","10025-720","Same 1.5 mL capacity across Sigma-Aldrich and VWR; diameter 13.4 vs 11 mm (difference 2.4 mm); height data incomplete; verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"HS4325","05-408-129","Same 1.5 mL capacity across Sigma-Aldrich and Fisher Scientific; diameter 12.9 vs 10.8 mm (difference 2.1 mm); height data incomplete; pack size 1000 vs 500; verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"HS4325","10025-720","Same 1.5 mL capacity across Sigma-Aldrich and VWR; diameter 12.9 vs 11 mm (difference 1.9 mm); height data incomplete; pack size 1000 vs 500; verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"MFLX02550-07","05-408-129","Same 1.5 mL capacity across VWR and Fisher Scientific; diameter 11 vs 10.8 mm (difference 0.2 mm); height 40 vs 40.6 mm (difference 0.6 mm); verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"MFLX02550-07","EP022363514","Same 1.5 mL capacity across VWR and Sigma-Aldrich; diameter 11 vs 11 mm (difference 0.0 mm); height 40 vs 38 mm (difference 2.0 mm); verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"MFLX04395-57","05-408-129","Same 1.5 mL capacity across VWR and Fisher Scientific; diameter 11 vs 10.8 mm (difference 0.2 mm); height 41 vs 40.6 mm (difference 0.4 mm); verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"MFLX04395-57","EP022363514","Same 1.5 mL capacity across VWR and Sigma-Aldrich; diameter 11 vs 11 mm (difference 0.0 mm); height 41 vs 38 mm (difference 3.0 mm); verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"MFLX07904-38","05-408-129","Same 1.5 mL capacity across VWR and Fisher Scientific; diameter 11 vs 10.8 mm (difference 0.2 mm); height 41 vs 40.6 mm (difference 0.4 mm); verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"MFLX07904-38","EP022363514","Same 1.5 mL capacity across VWR and Sigma-Aldrich; diameter 11 vs 11 mm (difference 0.0 mm); height 41 vs 38 mm (difference 3.0 mm); verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
